date,temperature,temp_max,temp_min,precipitation,humidity,wind_speed,cloud_cover
2024-02-17,11.57,16.6,7.45,0.0,75.58,3.34,59.21
2024-02-18,12.25,18.72,7.2,0.0,74.0,4.17,37.13
2024-02-19,11.54,15.05,7.94,0.0,65.72,3.65,64.37
2024-02-20,11.92,15.47,8.01,0.0,81.27,1.49,37.13
2024-02-21,10.875,18.93,9.01,0.0,73.37,3.39,35.27
2024-02-22,9.83,15.08,5.66,37.86,83.7,4.63,64.65
2024-02-23,11.4,15.28,7.42,0.0,70.12,2.41,48.33
2024-02-24,11.3,17.49,7.7,36.71,78.97,3.84,73.97
2024-02-25,11.18,17.32,6.3,0.0,69.38,5.01,27.24
2024-02-26,11.75,16.86,7.96,0.0,79.8,3.13,50.37
2024-02-27,14.15,19.52,10.47,0.0,75.09,3.73,48.9
2024-02-28,11.18,15.5,7.86,4.89,81.28,2.67,93.58
2024-02-29,10.754999999999999,15.559999999999999,7.220000000000001,0.0,80.155,3.15,63.985
2024-03-01,10.33,15.62,6.58,0.0,79.03,3.63,34.39
2024-03-02,12.19,16.58,8.27,5.46,82.98,3.73,79.28
2024-03-03,12.95,18.44,9.36,8.43,71.95,4.76,89.39
2024-03-04,13.61,19.62,8.7,0.0,69.48,4.2,53.64
2024-03-05,13.89,17.44,8.56,0.0,67.84,2.96,39.42
2024-03-06,14.11,19.4,9.86,22.91,82.39,3.14,100.0
2024-03-07,12.74,16.93,8.13,3.53,79.51,4.04,90.77
2024-03-08,12.71,18.83,7.54,0.0,65.59,3.13,32.18
2024-03-09,14.55,18.81,9.05,0.0,71.5,1.93,44.94
2024-03-10,13.3,18.64,8.77,0.0,64.86,3.57,55.47
2024-03-11,12.02,17.18,6.79,0.0,77.96,2.42,100.0
2024-03-12,12.32,17.01,7.05,10.28,69.84,4.89,94.24
2024-03-13,12.73,18.26,7.75,11.38,80.65,3.73,80.31
2024-03-14,14.7,20.37,10.54,0.0,73.78,2.85,32.4
2024-03-15,14.36,19.56,11.16,7.12,87.31,3.01,86.91
2024-03-16,15.2,20.98,12.16,6.82,81.9,2.04,100.0
2024-03-17,13.88,20.33,9.69,0.0,69.43,2.67,40.21
2024-03-18,14.77,19.53,10.54,0.0,75.52,4.35,40.45
2024-03-19,15.51,20.56,11.49,0.0,64.32,5.31,35.62
2024-03-20,14.43,17.97,10.01,0.0,66.38,4.1,31.07
2024-03-21,15.56,21.45,11.18,0.0,72.74,3.43,33.05
2024-03-22,14.24,19.3,9.15,0.0,60.16,3.15,36.63
2024-03-23,14.77,19.49,11.49,2.21,76.64,2.72,100.0
2024-03-24,14.88,18.66,11.32,0.0,65.6,5.12,32.12
2024-03-25,13.96,20.13,8.98,0.0,71.09,3.31,35.63
2024-03-26,16.29,20.97,11.17,0.0,65.07,5.15,24.62
2024-03-27,15.18,20.73,9.7,0.0,72.45,4.56,43.6
2024-03-28,15.95,19.9,10.77,0.0,70.3,2.04,51.4
2024-03-29,16.7,23.08,11.47,10.93,83.08,2.89,99.49
2024-03-30,16.8,20.83,13.01,0.0,69.99,2.88,37.44
2024-03-31,17.22,21.32,13.22,9.09,71.98,3.34,86.89
2024-04-01,16.37,22.45,12.7,0.0,68.46,3.34,33.16
2024-04-02,16.1,22.33,11.58,0.0,62.85,5.78,41.34
2024-04-03,15.420000000000002,20.82,11.34,0.89,77.47,2.51,83.77
2024-04-04,14.74,19.65,10.88,0.0,72.26,3.55,35.7
2024-04-05,15.2,20.9,10.81,0.0,81.53,3.84,36.65
2024-04-06,15.51,21.64,11.77,0.0,65.94,3.34,40.42
2024-04-07,16.08,20.71,12.65,0.0,73.58,3.42,76.47
2024-04-08,18.04,23.09,14.55,2.98,71.91,2.49,77.09
2024-04-09,16.49,22.21,13.34,0.0,69.72,3.4,55.49
2024-04-10,17.32,23.01,11.95,0.0,76.43,3.71,100.0
2024-04-11,19.65,25.5,15.64,0.0,68.13,3.55,20.55
2024-04-12,17.64,22.85,12.56,0.0,73.69,3.74,19.89
2024-04-13,19.21,23.03,14.51,12.33,71.05,4.4,68.51
2024-04-14,17.19,23.4,13.71,4.59,78.93,4.01,78.76
2024-04-15,18.28,24.38,14.84,0.0,70.56,3.31,45.75
2024-04-16,17.46,23.35,12.43,0.0,67.68,2.3,42.1
2024-04-17,18.4,22.2,14.74,0.0,66.03,2.75,37.06
2024-04-18,20.08,24.19,14.8,0.0,79.61,3.04,41.35
2024-04-19,16.89,22.62,13.54,0.0,63.26,3.41,26.69
2024-04-20,19.85,23.42,15.15,14.17,74.7,2.82,77.07
2024-04-21,19.74,26.17,14.7,0.0,63.33,2.44,34.76
2024-04-22,18.8,23.43,15.21,0.0,75.88,2.23,15.99
2024-04-23,17.84,23.5,14.15,0.0,71.25,1.85,21.06
2024-04-24,19.96,26.12,14.55,0.0,63.3,2.97,21.54
2024-04-25,19.32,24.0,15.66,0.0,69.12,1.98,44.17
2024-04-26,20.46,24.91,16.38,12.01,73.72,2.34,82.94
2024-04-27,20.33,25.65,16.24,10.74,69.72,2.82,87.33
2024-04-28,22.52,27.77,18.89,10.38,75.97,2.06,57.92
2024-04-29,20.27,25.0,15.33,0.0,67.99,3.42,17.2
2024-04-30,19.39,24.7,14.46,0.0,67.0,3.7,42.96
2024-05-01,21.1,27.41,17.15,0.0,65.58,2.66,1.66
2024-05-02,21.29,26.2,16.21,17.31,73.82,2.74,94.7
2024-05-03,22.91,27.0,19.38,0.0,66.69,3.51,13.12
2024-05-04,22.37,27.0,19.36,0.0,65.72,2.5,45.12
2024-05-05,21.89,26.57,17.46,9.46,68.09,2.44,69.34
2024-05-06,23.46,27.36,17.98,10.4,79.64,4.01,92.59
2024-05-07,20.15,24.14,17.06,6.86,65.8,3.75,100.0
2024-05-08,21.0,26.56,17.48,0.0,67.07,3.52,7.72
2024-05-09,20.76,25.28,16.47,0.0,63.21,3.77,43.34
2024-05-10,21.59,27.96,16.57,0.0,73.49,1.44,13.3
2024-05-11,20.44,24.67,17.22,0.0,60.06,4.1,40.12
2024-05-12,23.19,26.99,19.2,0.0,60.78,3.32,32.52
2024-05-13,22.21,27.97,17.34,0.0,59.49,3.81,36.56
2024-05-14,20.71,26.85,16.78,0.0,65.84,3.3,24.06
2024-05-15,21.43,25.76,17.96,0.0,57.25,3.02,44.37
2024-05-16,23.28,27.39,19.8,10.14,67.61,2.76,62.62
2024-05-17,24.09,28.15,20.07,0.0,53.12,3.26,49.9
2024-05-18,25.72,30.79,21.52,2.07,70.98,2.71,75.09
2024-05-19,27.04,31.94,21.88,0.0,61.17,3.65,18.17
2024-05-20,23.91,28.19,19.3,0.0,56.12,1.68,54.14
2024-05-21,22.2,25.84,17.47,0.0,68.88,2.51,34.19
2024-05-22,20.83,25.78,15.38,0.0,56.81,4.57,57.89
2024-05-23,24.07,30.45,20.04,0.0,67.23,2.43,49.66
2024-05-24,22.78,28.24,18.77,0.0,59.64,2.73,25.42
2024-05-25,23.41,28.4,18.1,0.0,71.05,2.21,33.98
2024-05-26,23.26,27.1,19.65,0.0,66.69,3.18,36.45
2024-05-27,23.99,28.24,19.16,0.0,57.8,2.31,53.32
2024-05-28,25.66,30.05,20.78,0.0,58.16,2.75,40.25
2024-05-29,24.59,30.38,21.34,0.0,65.68,3.57,37.12
2024-05-30,24.28,30.41,20.11,0.0,61.25,2.33,32.6
2024-05-31,23.25,29.45,19.74,0.0,61.62,3.51,34.39
2024-06-01,22.52,28.97,19.05,0.0,68.74,3.53,50.66
2024-06-02,24.16,30.61,20.0,0.0,58.55,3.72,35.04
2024-06-03,24.82,31.18,21.1,0.0,62.66,2.98,30.26
2024-06-04,27.28,31.0,22.29,0.0,66.89,5.45,28.23
2024-06-05,25.25,29.16,19.98,0.0,66.08,3.7,28.35
2024-06-06,26.45,30.86,21.44,0.0,61.15,3.11,18.17
2024-06-07,24.61,29.77,20.95,0.0,60.43,2.15,26.0
2024-06-08,23.81,27.6,20.12,0.0,53.1,2.77,52.98
2024-06-09,24.18,30.22,20.54,2.57,62.44,3.98,77.52
2024-06-10,24.57,29.92,21.24,11.2,69.24,4.2,88.45
2024-06-11,28.36,33.49,23.0,0.0,60.88,4.02,5.25
2024-06-12,24.61,28.6,20.6,0.0,61.88,3.46,41.82
2024-06-13,26.84,31.1,23.28,8.19,72.63,1.82,78.06
2024-06-14,24.65,28.64,19.54,0.0,55.43,3.21,29.22
2024-06-15,27.11,33.17,23.11,4.26,66.12,1.83,82.17
2024-06-16,26.47,31.72,23.38,0.0,62.18,1.63,29.05
2024-06-17,25.84,31.54,22.43,0.0,57.66,3.01,9.51
2024-06-18,26.05,30.44,21.45,0.0,68.28,3.23,46.07
2024-06-19,25.32,29.93,20.36,23.03,71.61,3.53,82.92
2024-06-20,26.81,31.53,23.28,0.0,62.46,3.21,31.23
2024-06-21,25.7,31.48,20.41,0.0,69.93,3.23,23.41
2024-06-22,24.75,30.57,19.63,0.0,53.41,2.02,17.36
2024-06-23,24.74,28.86,19.62,0.0,60.82,2.72,37.69
2024-06-24,26.68,33.0,23.11,0.0,62.64,1.6,54.36
2024-06-25,28.56,32.42,25.43,0.0,56.2,1.2,37.44
2024-06-26,26.76,32.95,21.59,0.0,62.23,3.39,18.41
2024-06-27,26.44,30.24,22.68,0.0,55.15,2.2,37.7
2024-06-28,27.01,31.3,22.46,0.0,64.1,3.5,34.36
2024-06-29,28.38,34.42,23.48,0.0,65.9,3.69,45.37
2024-06-30,27.0,31.04,23.68,0.0,61.94,2.3,42.28
2024-07-01,27.61,30.96,21.27,0.0,51.29,3.27,0.0
2024-07-02,28.22,33.07,22.88,0.0,55.69,2.27,41.54
2024-07-03,27.37,31.61,22.55,0.0,63.32,1.32,22.96
2024-07-04,28.84,34.47,24.74,0.0,60.58,2.9,17.94
2024-07-05,27.11,33.16,21.92,0.0,46.98,2.42,32.74
2024-07-06,25.3,31.42,20.98,0.0,66.64,2.45,39.93
2024-07-07,25.13,29.65,20.27,0.0,61.09,4.38,15.31
2024-07-08,29.08,34.17,24.03,0.0,56.3,1.58,43.45
2024-07-09,29.19,33.43,24.31,0.0,65.36,3.11,44.16
2024-07-10,26.73,30.96,23.01,0.0,56.98,2.01,35.56
2024-07-11,26.47,30.46,23.18,0.0,56.92,3.54,24.59
2024-07-12,28.88,35.2,25.28,0.0,62.15,3.05,23.25
2024-07-13,25.54,31.71,21.29,0.0,69.26,3.12,47.31
2024-07-14,25.82,31.66,21.56,0.0,68.47,2.06,16.87
2024-07-15,27.82,32.88,23.37,0.0,62.15,2.21,47.77
2024-07-16,26.47,31.44,22.48,0.0,62.67,3.56,33.02
2024-07-17,26.97,32.06,22.01,0.0,64.32,4.24,33.85
2024-07-18,26.76,31.87,21.48,0.0,54.08,3.21,14.5
2024-07-19,33.995,32.21,23.79,0.0,63.6,2.11,33.24
2024-07-20,41.23,32.68,23.94,0.0,56.72,3.1,42.36
2024-07-21,27.06,30.93,22.36,0.0,61.99,4.78,18.96
2024-07-22,27.76,34.11,23.45,0.0,59.28,2.92,40.98
2024-07-23,24.24,29.18,20.76,0.0,62.94,4.01,36.07
2024-07-24,26.82,33.17,21.83,0.0,61.05,2.26,27.27
2024-07-25,25.76,29.75,20.36,0.0,45.11,2.82,45.26
2024-07-26,25.24,30.41,20.44,0.0,61.4,3.35,8.57
2024-07-27,25.66,29.78,20.36,0.0,63.74,3.18,39.16
2024-07-28,26.33,30.59,20.87,0.0,62.79,2.25,54.43
2024-07-29,27.92,31.51,24.04,0.0,60.08,2.22,52.28
2024-07-30,24.97,28.83,20.37,0.0,68.84,3.67,39.68
2024-07-31,26.7,32.95,22.51,0.0,62.22,3.83,31.38
2024-08-01,25.98,30.45,20.52,0.0,62.89,4.1,27.37
2024-08-02,26.14,31.47,22.91,0.0,65.96,4.33,31.36
2024-08-03,27.83,32.72,23.8,0.0,62.6,3.0,41.53
2024-08-04,27.17,31.88,21.99,0.0,56.34,2.65,25.31
2024-08-05,28.16,33.26,24.45,0.0,48.68,3.99,44.09
2024-08-06,26.17,30.23,21.2,0.0,58.54,3.48,60.6
2024-08-07,25.41,31.87,21.45,0.0,64.78,2.13,34.26
2024-08-08,25.96,31.92,20.51,0.0,59.26,2.1,18.87
2024-08-09,26.51,32.24,21.3,0.0,65.09,3.33,18.86
2024-08-10,26.36,31.27,22.61,0.0,61.89,2.8,44.32
2024-08-11,24.66,28.62,19.73,0.0,67.64,2.92,34.28
2024-08-12,26.12,32.38,22.28,0.0,59.79,3.81,45.52
2024-08-13,26.23,30.75,21.71,0.0,63.66,3.57,28.6
2024-08-14,29.13,32.78,24.49,0.0,63.92,4.03,44.97
2024-08-15,28.23,32.75,23.15,0.0,68.97,1.43,33.1
2024-08-16,24.6,30.48,21.54,0.0,52.99,3.18,26.21
2024-08-17,25.26,30.63,21.71,0.0,59.31,3.54,30.19
2024-08-18,23.65,29.4,18.87,0.0,65.91,1.77,20.64
2024-08-19,24.7,30.58,20.29,0.0,69.48,2.48,58.87
2024-08-20,25.8,29.93,21.56,0.0,63.02,2.34,33.84
2024-08-21,25.29,33.14,23.73,0.0,60.44,3.04,42.73
2024-08-22,24.78,29.08,20.39,0.0,65.77,4.33,28.56
2024-08-23,24.27,29.69,19.11,0.0,66.41,4.65,22.38
2024-08-24,22.24,25.74,19.16,0.0,60.35,2.39,32.19
2024-08-25,24.72,31.2,20.73,0.0,63.89,3.47,48.21
2024-08-26,23.46,27.8,18.09,0.0,68.22,3.51,28.75
2024-08-27,24.05,27.74,20.92,0.0,71.86,3.38,24.55
2024-08-28,23.5,28.37,18.63,0.0,66.21,3.4,36.87
2024-08-29,24.42,28.3,20.77,0.0,62.81,3.33,40.99
2024-08-30,22.15,26.11,16.98,0.0,62.42,4.45,54.71
2024-08-31,22.42,27.82,17.56,0.0,65.57,3.99,39.25
2024-09-01,26.99,31.67,21.78,0.0,62.3,2.27,42.73
2024-09-02,22.44,28.71,18.9,0.0,63.93,3.76,43.63
2024-09-03,22.58,27.04,18.25,0.0,57.79,3.85,21.16
2024-09-04,26.28,31.96,21.33,0.0,69.67,3.39,23.44
2024-09-05,27.56,32.44,23.94,0.0,57.58,4.06,21.99
2024-09-06,22.14,27.62,18.56,0.0,61.23,3.31,19.01
2024-09-07,23.07,28.37,20.0,0.0,63.98,3.33,44.55
2024-09-08,23.87,28.79,18.48,0.0,73.55,3.28,38.48
2024-09-09,25.56,31.91,20.78,2.98,67.59,1.57,80.95
2024-09-10,21.91,26.43,17.32,0.0,60.49,3.13,3.89
2024-09-11,22.75,26.78,17.89,0.0,61.17,2.67,59.67
2024-09-12,23.95,29.49,19.63,0.0,72.33,2.27,24.27
2024-09-13,23.38,29.42,19.19,0.0,50.09,4.37,59.62
2024-09-14,22.2,25.82,18.08,0.0,59.25,3.64,17.61
2024-09-15,22.39,27.24,17.79,0.0,78.04,3.22,25.25
2024-09-16,20.65,26.83,17.15,0.0,67.45,2.81,8.57
2024-09-17,22.0,27.75,16.78,0.0,59.09,3.5,39.35
2024-09-18,21.83,28.31,16.8,0.0,64.53,4.07,21.78
2024-09-19,22.35,27.44,18.47,0.0,65.19,2.63,22.12
2024-09-20,21.19,26.67,16.74,0.0,69.21,3.29,18.53
2024-09-21,22.075000000000003,27.985,17.134999999999998,0.0,68.185,2.5300000000000002,31.035000000000004
2024-09-22,22.96,29.3,17.53,0.0,67.16,1.77,43.54
2024-09-23,21.71,26.31,16.45,0.0,62.64,3.28,56.74
2024-09-24,21.83,27.54,16.52,0.0,69.4,3.0,26.77
2024-09-25,21.3,26.01,17.47,0.0,62.1,3.24,37.63
2024-09-26,21.1,26.28,17.67,5.52,66.55,2.96,64.53
2024-09-27,20.02,25.68,16.49,0.0,57.04,3.48,30.98
2024-09-28,21.23,26.26,18.0,0.0,58.14,4.92,28.77
2024-09-29,22.245,26.77,17.25,0.0,61.61,3.13,40.57
2024-09-30,23.26,28.01,20.08,0.0,60.33,3.63,47.2
2024-10-01,22.44,27.88,16.96,8.04,73.92,5.01,91.89
2024-10-02,20.75,25.28,17.57,0.0,60.48,2.98,24.89
2024-10-03,19.12,23.84,15.79,0.0,50.89,4.88,46.98
2024-10-04,18.52,23.34,13.45,4.51,67.52,3.45,79.47
2024-10-05,21.37,25.25,16.92,0.0,64.51,4.88,31.1
2024-10-06,20.02,23.8,15.08,0.0,63.97,4.06,26.5
2024-10-07,20.16,25.66,15.58,0.0,74.73,3.72,28.28
2024-10-08,17.12,22.59,11.92,0.0,64.19,3.43,55.91
2024-10-09,17.25,25.94,15.86,6.16,77.8,2.99,83.69
2024-10-10,17.380000000000003,23.25,15.39,0.0,67.43,3.56,37.1
2024-10-11,17.51,21.99,12.73,0.0,67.44,4.23,31.85
2024-10-12,18.2,22.29,14.08,0.0,63.61,3.51,64.35
2024-10-13,19.01,24.84,15.14,0.0,67.62,3.28,50.66
2024-10-14,18.59,24.67,14.42,0.0,64.22,3.34,26.35
2024-10-15,18.0,22.24,14.57,0.0,69.03,4.35,31.72
2024-10-16,18.1,23.6,13.1,17.66,73.13,4.54,77.43
2024-10-17,17.76,21.65,14.11,1.74,69.72,3.04,81.75
2024-10-18,18.14,22.46,14.75,0.0,73.53,3.05,26.59
2024-10-19,19.71,23.62,16.09,0.0,70.84,3.9,40.27
2024-10-20,14.31,18.66,9.21,4.7,72.6,4.83,97.43
2024-10-21,17.2,22.72,13.37,0.0,69.7,4.53,19.24
2024-10-22,17.59,23.82,12.88,0.0,68.68,2.62,21.46
2024-10-23,17.6,21.71,12.46,13.7,70.89,3.42,74.2
2024-10-24,16.59,21.72,13.4,8.22,75.71,2.9,74.76
2024-10-25,14.65,20.25,9.74,0.0,66.38,3.44,58.98
2024-10-26,17.22,23.58,13.45,0.0,64.89,4.94,47.02
2024-10-27,18.89,24.22,15.35,0.0,61.63,2.53,46.33
2024-10-28,18.189999999999998,18.78,9.79,0.0,68.08,2.38,31.83
2024-10-29,17.49,22.87,12.22,6.14,78.83,3.02,76.56
2024-10-30,15.8,20.26,12.06,0.0,66.65,3.93,17.58
2024-10-31,16.01,22.44,11.59,0.0,82.86,4.2,44.38
2024-11-01,14.58,19.28,10.86,0.0,74.81,4.06,40.89
2024-11-02,15.38,20.93,10.99,0.0,77.02,4.66,50.43
2024-11-03,15.84,20.94,12.81,0.0,74.6,2.32,32.47
2024-11-04,16.3,21.0,11.77,0.0,80.01,4.69,33.3
2024-11-05,17.66,23.78,13.1,0.0,66.94,3.5,37.04
2024-11-06,16.8,22.13,13.46,10.27,64.19,4.34,90.7
2024-11-07,15.71,20.54,10.97,0.0,68.88,2.71,17.36
2024-11-08,17.27,23.58,12.59,0.0,74.03,3.78,43.83
2024-11-09,15.45,21.51,10.74,0.0,72.11,3.97,34.75
2024-11-10,15.82,20.29,12.64,5.68,78.85,4.71,67.3
2024-11-11,14.23,19.36,10.11,2.92,84.19,2.53,54.98
2024-11-12,14.57,19.54,10.55,0.0,73.61,3.83,33.36
2024-11-13,13.46,18.85,10.24,0.0,75.81,2.94,52.37
2024-11-14,13.02,17.83,9.36,0.0,74.19,3.6950000000000003,68.315
2024-11-15,12.58,16.81,8.48,20.28,72.57,4.45,84.26
2024-11-16,15.01,21.25,10.15,11.25,86.23,4.86,100.0
2024-11-17,13.62,19.89,10.03,0.0,72.77,3.41,34.48
2024-11-18,15.27,21.3,10.2,15.05,75.26,4.59,91.44
2024-11-19,14.61,21.04,10.24,0.0,69.37,4.94,29.59
2024-11-20,15.88,21.62,10.98,6.61,75.34,2.55,73.82
2024-11-21,14.35,20.14,10.17,5.94,75.15,4.36,71.87
2024-11-22,11.24,17.03,6.99,24.41,72.38,4.64,55.27
2024-11-23,13.09,18.03,8.54,0.0,65.39,3.67,50.45
2024-11-24,11.54,16.41,6.22,0.0,72.02,2.92,27.3
2024-11-25,12.28,16.5,8.05,0.0,70.13,4.65,25.38
2024-11-26,14.81,20.25,10.49,0.0,78.73,2.94,20.84
2024-11-27,13.57,17.94,9.06,6.26,80.75,3.76,77.55
2024-11-28,11.73,16.0,6.88,0.0,74.71,3.88,56.16
2024-11-29,11.22,16.47,8.04,13.55,75.76,4.49,100.0
2024-11-30,12.48,17.21,8.19,1.88,78.96,3.42,60.07
2024-12-01,10.75,14.91,6.55,0.0,75.46,3.38,30.75
2024-12-02,11.37,17.32,6.06,13.55,83.33,4.01,67.59
2024-12-03,12.55,18.63,8.32,0.0,73.36,4.74,46.86
2024-12-04,13.55,17.56,9.38,0.0,79.31,5.77,38.44
2024-12-05,12.75,16.28,7.35,0.0,74.04,2.74,27.36
2024-12-06,8.89,13.4,4.77,0.0,78.04,4.2,35.87
2024-12-07,12.18,18.07,8.73,0.0,71.71,3.08,29.27
2024-12-08,11.79,17.81,8.25,0.0,65.17,4.77,54.37
2024-12-09,12.16,16.07,8.92,31.63,81.65,3.21,86.56
2024-12-10,13.64,19.46,10.64,7.19,84.01,3.42,88.04
2024-12-11,8.78,12.62,4.7,0.0,77.33,3.5,3.0
2024-12-12,10.61,15.28,5.69,0.0,76.64,3.91,34.2
2024-12-13,12.08,18.57,7.24,4.47,78.85,4.23,100.0
2024-12-14,9.18,13.26,6.1,0.0,70.62,4.36,50.91
2024-12-15,13.08,17.05,8.66,0.0,77.48,3.97,12.83
2024-12-16,11.58,16.35,8.19,0.0,76.92,2.92,31.24
2024-12-17,12.13,17.49,6.78,0.0,72.04,4.57,20.58
2024-12-18,10.23,16.53,6.81,0.0,80.45,3.94,55.53
2024-12-19,11.97,18.41,7.4,0.0,70.54,4.92,37.93
2024-12-20,12.24,15.95,8.42,0.0,72.09,3.42,25.79
2024-12-21,11.1,15.01,6.49,22.45,89.24,2.71,80.41
2024-12-22,11.04,16.92,7.01,0.0,79.45,3.97,3.71
2024-12-23,11.04,15.35,6.14,3.51,79.37,5.03,66.98
2024-12-24,9.52,15.67,5.94,0.0,76.64,4.13,35.44
2024-12-25,10.4,15.89,5.13,8.53,82.02,3.84,90.15
2024-12-26,10.35,14.18,6.1,15.03,67.56,3.3,56.7
2024-12-27,11.0,17.0,6.11,3.78,76.8,5.41,75.43
2024-12-28,11.76,15.79,6.64,0.0,75.11,3.18,47.12
2024-12-29,9.05,13.82,3.55,4.1,79.62,3.42,62.58
2024-12-30,10.23,15.39,6.67,17.15,82.67,4.46,82.75
2024-12-31,12.29,17.29,8.57,0.0,81.11,2.52,35.79
2025-01-01,9.39,14.94,5.76,0.0,73.86,5.02,55.57
2025-01-02,9.25,14.71,5.6,0.0,70.21,4.5,32.24
2025-01-03,10.56,17.04,6.1,0.0,77.15,4.72,32.94
2025-01-04,11.37,17.87,5.89,0.0,73.91,4.45,45.26
2025-01-05,10.26,15.31,4.79,1.79,80.78,3.87,64.08
2025-01-06,11.96,15.74,7.64,20.67,80.12,3.15,77.35
2025-01-07,11.33,17.01,6.73,0.0,86.81,3.88,29.53
2025-01-08,11.29,17.72,6.14,25.3,70.41,3.21,78.33
2025-01-09,10.91,15.36,5.57,0.0,73.68,4.38,45.18
2025-01-10,13.2,18.09,9.69,0.0,75.62,4.64,41.65
2025-01-11,9.9,14.68,5.58,0.0,71.74,5.17,26.02
2025-01-12,7.56,11.21,2.48,0.0,80.15,4.28,36.64
2025-01-13,12.25,17.77,8.49,0.0,79.72,4.72,52.89
2025-01-14,9.57,14.13,5.47,0.0,75.41,3.74,25.02
2025-01-15,10.31,16.17,4.84,0.0,74.29,3.6,36.74
2025-01-16,11.87,17.87,6.41,29.26,81.08,4.36,77.68
2025-01-17,8.1,14.06,2.83,7.63,81.11,3.67,79.24
2025-01-18,8.56,13.31,3.57,0.0,75.24,4.19,15.43
2025-01-19,8.12,12.59,4.45,9.93,80.68,3.12,96.93
2025-01-20,9.19,14.93,5.38,0.0,76.87,3.26,25.71
2025-01-21,10.81,16.71,6.44,2.33,85.36,4.47,92.31
2025-01-22,10.94,15.91,6.54,0.0,69.42,4.67,27.54
2025-01-23,10.64,16.82,6.38,0.0,70.3,3.17,27.49
2025-01-24,8.47,12.4,3.88,0.0,66.79,4.49,49.56
2025-01-25,7.33,13.47,3.31,0.0,79.84,3.52,46.93
2025-01-26,10.44,14.22,5.56,12.52,82.73,3.95,82.5
2025-01-27,9.78,13.74,5.95,0.0,77.98,5.07,44.13
2025-01-28,11.03,16.13,7.2,12.06,74.27,4.58,76.54
2025-01-29,11.38,15.09,8.07,0.0,84.31,4.56,34.9
2025-01-30,10.69,14.35,7.22,0.0,72.31,5.45,27.06
