Date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,WD2M,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,PS,QV2M,T2MDEW,T2MWET,Governorate
2015-01-29,12.86,19.46,8.42,43.26,0.0,1.8,250.1,4.2864,6.9998,1.8588,4.421,99.78,3.85,-0.01,6.43,Cairo
2015-01-30,11.01,18.49,5.33,44.67,0.0,3.23,239.4,4.1525,6.8688,1.7878,4.193,100.06,3.58,-0.92,5.05,Cairo
2015-01-31,11.27,20.03,4.4,36.06,0.0,2.21,206.8,4.4717,6.6996,1.9226,4.4882,100.3,2.78,-4.15,3.56,Cairo
2015-02-01,13.92,23.32,5.88,24.9,0.0,2.0,194.6,4.7542,6.5033,1.9956,4.7729,100.12,2.18,-7.19,3.36,Cairo
2015-02-02,14.72,24.57,8.36,19.05,0.0,2.23,212.7,4.6757,6.7426,1.9697,4.7251,99.74,1.85,-9.06,2.83,Cairo
2015-02-03,13.29,22.29,6.4,43.16,0.0,1.79,259.8,4.0886,7.2415,1.7808,4.1278,100.05,4.13,0.08,6.69,Cairo
2015-02-04,13.37,20.82,7.41,63.36,0.0,1.98,49.3,4.6104,7.0051,1.9877,4.6982,100.46,5.61,5.17,9.27,Cairo
2015-02-05,14.29,22.45,8.26,59.1,0.0,2.82,75.5,3.803,7.637,1.6666,4.6886,100.17,5.48,4.96,9.63,Cairo
2015-02-06,19.28,29.68,13.92,19.92,0.0,2.02,194.6,4.517,7.6253,1.9642,4.8142,99.72,2.46,-6.14,6.57,Cairo
2015-02-07,16.74,24.98,10.56,43.16,0.0,2.46,303.2,4.2343,7.6493,1.859,4.2979,99.65,5.09,2.24,9.49,Cairo
2015-02-08,13.25,20.14,7.7,64.77,0.0,1.96,313.1,4.6368,7.3018,2.0323,4.8926,99.76,5.84,5.73,9.49,Cairo
2015-02-09,12.17,20.29,5.8,42.92,0.0,2.74,242.2,4.6457,6.9619,2.0196,4.6572,99.39,3.43,-2.03,5.07,Cairo
2015-02-10,11.56,17.7,6.1,36.82,0.0,6.19,232.1,3.4802,7.7952,1.4911,3.8352,99.15,3.23,-2.64,4.46,Cairo
2015-02-11,8.9,11.84,5.69,48.49,0.69,6.53,246.0,2.3746,8.0604,1.0296,3.9031,99.65,3.42,-1.54,3.68,Cairo
2015-02-12,8.24,14.88,2.48,49.17,0.01,3.71,251.8,4.182,7.4254,1.8043,4.92,100.23,3.16,-2.49,2.88,Cairo
2015-02-13,9.43,16.48,3.04,59.29,0.08,2.93,264.2,4.0574,7.195,1.7626,4.9793,100.24,4.21,1.38,5.4,Cairo
2015-02-14,11.48,17.82,3.98,45.51,0.0,1.42,240.1,4.4657,7.1515,1.9318,4.9886,100.02,3.56,-0.98,5.25,Cairo
2015-02-15,11.69,17.75,7.03,48.42,0.48,1.27,354.6,1.1057,7.8943,0.5333,4.8643,99.91,3.97,0.13,5.91,Cairo
2015-02-16,11.74,18.87,6.19,65.75,0.01,1.32,12.7,4.4136,7.296,1.9279,5.0669,100.1,5.27,4.48,8.11,Cairo
2015-02-17,11.87,19.54,5.87,65.68,0.0,1.86,10.2,4.2986,7.5134,1.8859,5.2106,100.19,5.2,4.21,8.04,Cairo
2015-02-18,11.29,18.07,5.71,71.61,0.31,2.75,345.1,3.5376,7.6296,1.5768,5.1689,100.34,5.7,5.68,8.49,Cairo
2015-02-19,7.62,11.69,4.39,68.01,1.99,3.53,298.0,1.259,7.6183,0.601,5.2318,100.22,4.37,1.76,4.69,Cairo
2015-02-20,9.77,15.51,4.24,64.86,0.8,5.18,288.7,4.1904,7.4482,1.8262,5.3141,99.9,4.65,2.68,6.23,Cairo
2015-02-21,11.78,16.99,8.31,70.43,1.48,3.84,298.2,2.9249,8.202,1.2852,5.3806,100.05,5.9,6.13,8.96,Cairo
2015-02-22,12.77,19.23,6.46,58.81,0.0,1.14,102.4,4.4093,7.6639,1.9639,5.3453,100.34,5.03,3.86,8.31,Cairo
2015-02-23,14.28,19.28,10.93,45.34,0.0,1.41,144.9,1.9226,8.1002,0.9086,5.106,99.97,4.53,2.36,8.32,Cairo
2015-02-24,13.24,17.73,9.68,56.66,0.65,1.91,268.2,2.6573,8.045,1.225,4.8792,99.51,5.4,4.63,8.93,Cairo
2015-02-25,13.65,21.93,6.58,60.08,0.0,1.8,281.6,4.5108,7.925,1.9838,4.9061,100.0,5.48,5.07,9.36,Cairo
2015-02-26,16.5,26.73,8.65,54.48,0.0,2.61,78.9,5.1264,7.6934,2.2397,5.5332,100.03,5.45,4.62,10.56,Cairo
2015-02-27,18.75,28.65,12.1,35.84,0.0,2.75,214.8,5.2714,7.7556,2.3266,5.3602,99.73,4.26,1.29,10.02,Cairo
2015-02-28,14.42,22.27,8.58,57.47,0.0,2.13,324.5,4.9906,7.4537,2.1209,5.009,100.31,5.33,3.95,9.19,Cairo
2015-03-01,14.01,22.19,7.31,61.06,0.0,2.39,8.5,5.7451,7.1424,2.5073,5.8306,100.31,5.47,4.89,9.45,Cairo
2015-03-02,14.64,22.74,7.34,56.15,0.0,2.29,26.6,5.7533,7.1957,2.5322,5.9011,100.35,5.14,4.03,9.33,Cairo
2015-03-03,16.33,24.43,10.06,45.18,0.0,2.36,324.6,5.3849,7.4702,2.3539,5.8918,100.46,4.71,2.69,9.51,Cairo
2015-03-04,15.33,23.07,10.05,67.52,0.0,2.84,346.0,4.945,8.0203,2.2147,5.8728,100.47,6.74,8.04,11.69,Cairo
2015-03-05,15.15,23.23,9.25,65.53,0.0,3.06,31.0,5.3623,7.566,2.3594,6.0569,100.33,6.52,7.55,11.35,Cairo
2015-03-06,17.59,28.82,9.23,54.85,0.0,2.26,55.1,6.0204,7.517,2.6436,6.0562,100.07,5.84,5.46,11.52,Cairo
2015-03-07,18.41,28.58,10.43,39.22,0.01,2.05,217.6,5.628,7.8091,2.448,5.9518,99.79,4.5,1.8,10.11,Cairo
2015-03-08,21.07,30.44,12.28,32.08,0.02,1.83,247.2,5.587,7.8281,2.4331,6.0139,99.91,4.32,1.28,11.17,Cairo
2015-03-09,20.44,29.04,14.46,51.56,0.13,1.73,332.4,4.1954,8.6666,1.8653,5.6297,100.15,7.12,8.68,14.56,Cairo
2015-03-10,17.94,22.84,14.13,67.48,0.68,2.54,20.2,3.6761,8.8975,1.6901,5.5135,100.32,8.36,11.3,14.62,Cairo
2015-03-11,17.35,25.67,11.72,72.14,0.57,4.76,18.5,3.1702,9.0586,1.4652,5.5303,99.85,8.5,11.49,14.42,Cairo
2015-03-12,15.03,22.73,8.76,56.14,0.19,2.79,301.0,6.1051,7.4714,2.6633,6.2136,100.05,5.26,3.98,9.51,Cairo
2015-03-13,15.39,22.88,8.45,56.25,0.0,1.42,4.5,5.7629,7.5619,2.556,6.2352,100.25,5.46,4.87,10.13,Cairo
2015-03-14,16.66,25.04,9.18,53.29,0.0,2.48,344.2,6.1159,7.4443,2.6868,6.1457,100.25,5.47,4.69,10.67,Cairo
2015-03-15,15.62,23.5,9.69,61.17,0.0,3.28,7.9,5.8006,7.571,2.5493,6.5532,100.52,6.1,6.25,10.94,Cairo
2015-03-16,14.5,22.16,8.59,58.21,0.0,3.38,17.4,5.2097,7.7246,2.2838,6.4788,100.41,5.47,5.0,9.75,Cairo
2015-03-17,15.35,24.28,8.06,54.78,0.0,3.08,21.3,6.2974,7.2122,2.7312,6.4778,100.15,5.16,3.86,9.61,Cairo
2015-03-18,15.39,24.09,7.81,56.68,0.0,2.86,10.2,6.1728,7.23,2.6666,6.2688,100.07,5.41,4.64,10.01,Cairo
2015-03-19,15.16,23.5,8.19,62.9,0.0,2.67,341.0,5.6357,7.8386,2.5015,6.396,100.1,6.19,6.78,10.97,Cairo
2015-03-20,14.97,22.41,7.72,57.68,0.0,2.23,337.4,6.2016,7.5274,2.7706,6.5465,100.15,5.65,5.52,10.24,Cairo
2015-03-21,15.55,23.03,9.29,51.33,0.0,3.17,330.8,6.0816,7.3913,2.6734,6.6041,100.23,5.24,4.42,9.99,Cairo
2015-03-22,14.11,22.89,6.06,49.98,0.0,2.25,11.2,6.8443,6.8767,2.9669,6.8674,100.47,4.32,1.51,7.81,Cairo
2015-03-23,15.96,24.32,9.04,41.48,0.0,2.77,62.9,4.7256,7.9358,2.0662,6.4274,100.16,3.99,-0.03,7.96,Cairo
2015-03-24,20.17,29.91,12.95,39.78,0.0,3.74,60.4,6.3523,7.8758,2.789,6.4817,99.85,5.05,3.59,11.88,Cairo
2015-03-25,20.22,28.93,12.53,50.13,0.0,4.03,62.1,5.4708,8.1936,2.431,6.5371,99.91,6.59,7.58,13.9,Cairo
2015-03-26,21.31,28.37,14.78,40.41,0.0,3.62,70.1,5.563,8.4845,2.5056,6.3427,99.95,5.74,5.3,13.3,Cairo
2015-03-27,28.43,38.08,19.53,21.4,0.0,2.36,141.9,4.2142,9.5844,1.9289,6.3557,99.23,5.08,3.69,16.06,Cairo
2015-03-28,21.6,25.87,15.91,50.78,0.19,2.46,286.9,3.2611,9.3218,1.5175,5.9172,99.33,7.95,10.2,15.9,Cairo
2015-03-29,19.06,26.56,12.11,46.98,0.0,3.1,276.8,6.1783,8.2639,2.729,6.7514,99.48,5.72,4.63,11.85,Cairo
2015-03-30,18.25,25.67,11.67,46.19,0.0,3.03,294.9,5.9911,8.2874,2.6753,6.7258,99.91,5.81,5.62,11.94,Cairo
2015-03-31,18.91,26.14,12.47,48.64,0.0,3.92,252.6,6.4217,8.226,2.8318,6.743,99.8,5.95,5.91,12.41,Cairo
2015-04-01,17.85,25.09,12.23,56.54,0.0,2.98,307.3,5.6587,8.46,2.5277,7.0798,99.94,6.68,7.81,12.83,Cairo
2015-04-02,19.67,26.87,11.69,47.03,0.0,2.39,249.4,6.3463,8.1629,2.8058,6.9842,99.85,6.0,6.14,12.9,Cairo
2015-04-03,19.7,27.12,13.61,56.32,0.0,3.01,301.4,6.6331,8.389,2.9021,6.9619,99.58,7.41,9.15,14.43,Cairo
2015-04-04,17.89,25.63,11.25,53.13,0.0,2.49,351.6,6.3082,8.1982,2.7706,7.2415,99.82,6.09,6.31,12.1,Cairo
2015-04-05,18.53,27.2,10.17,52.28,0.0,2.47,39.5,7.3142,7.5242,3.2131,7.3759,99.93,6.02,6.14,12.33,Cairo
2015-04-06,20.29,29.88,12.02,44.4,0.01,3.19,61.4,7.3495,7.6366,3.2066,7.4352,99.9,5.5,4.54,12.42,Cairo
2015-04-07,25.26,36.18,15.37,23.05,0.0,2.52,260.9,6.8798,8.2963,3.029,7.0174,99.65,3.99,0.12,12.69,Cairo
2015-04-08,27.64,38.92,17.36,25.86,0.0,4.85,205.7,6.3276,8.9731,2.7425,6.863,99.13,4.51,0.95,14.3,Cairo
2015-04-09,17.96,22.98,12.05,49.06,0.0,4.93,300.5,6.5748,8.0602,2.886,7.2113,99.61,6.02,5.7,11.83,Cairo
2015-04-10,13.81,19.53,8.92,54.65,0.67,4.7,281.4,5.3585,7.8086,2.333,7.2046,99.93,5.13,4.1,8.95,Cairo
2015-04-11,12.28,16.25,9.79,63.55,12.7,5.3,280.9,4.3884,8.0518,1.9123,7.3116,100.11,5.53,5.16,8.72,Cairo
2015-04-12,14.06,20.94,7.23,62.04,0.37,4.23,297.8,6.0072,7.6987,2.5932,7.4119,100.58,5.74,5.8,9.93,Cairo
2015-04-13,15.29,24.15,6.99,58.5,0.08,2.78,304.4,7.4904,7.3543,3.2429,7.6154,100.66,5.53,5.08,10.19,Cairo
2015-04-14,15.61,23.72,7.99,55.32,0.0,2.09,18.2,7.0082,7.5528,3.0353,7.6702,100.22,5.28,4.19,9.9,Cairo
2015-04-15,15.13,22.35,8.11,60.41,0.14,2.7,345.6,6.2633,7.908,2.724,7.4405,100.04,5.97,6.26,10.7,Cairo
2015-04-16,16.84,24.94,8.7,58.5,0.01,2.74,321.9,6.9053,7.775,2.976,7.2854,100.53,6.32,7.01,11.93,Cairo
2015-04-17,17.3,25.44,9.44,54.53,0.0,2.68,6.2,6.6276,7.849,2.8445,7.2698,100.88,5.89,5.98,11.64,Cairo
2015-04-18,18.46,27.54,9.41,51.35,0.0,2.81,40.5,7.6517,7.4822,3.3199,7.7666,100.61,5.82,5.85,12.15,Cairo
2015-04-19,20.66,31.01,10.6,38.32,0.0,2.3,45.8,7.5298,7.939,3.2743,7.7021,100.14,4.94,3.36,12.01,Cairo
2015-04-20,25.43,35.37,17.0,25.66,0.0,2.28,270.8,6.3718,9.2062,2.7259,6.7296,99.75,4.59,2.27,13.85,Cairo
2015-04-21,21.21,29.97,13.24,52.8,0.0,2.72,319.7,7.2302,8.2618,3.1826,7.3586,99.77,7.4,9.12,15.17,Cairo
2015-04-22,19.33,27.8,12.64,58.15,0.0,3.44,323.6,6.5237,8.4002,2.9018,7.1388,99.85,7.48,9.41,14.37,Cairo
2015-04-23,16.42,23.96,9.92,50.36,0.0,4.53,321.9,7.5103,7.4126,3.2789,7.8934,100.33,5.3,4.48,10.45,Cairo
2015-04-24,16.22,24.09,8.65,45.18,0.0,3.02,11.0,7.9574,7.146,3.4514,8.0179,100.64,4.61,2.58,9.4,Cairo
2015-04-25,17.76,27.26,9.39,44.76,0.0,3.98,52.6,7.9596,7.2847,3.4452,8.0496,100.38,4.77,2.77,10.27,Cairo
2015-04-26,20.62,31.6,10.11,45.84,0.0,2.77,61.6,7.5322,7.9337,3.311,7.6193,99.85,5.48,4.53,12.58,Cairo
2015-04-27,26.24,36.85,17.49,24.82,0.0,3.44,226.7,6.9586,8.6734,2.9945,7.2038,99.5,4.33,0.9,13.57,Cairo
2015-04-28,24.5,35.77,14.48,45.31,0.0,1.44,300.6,7.5226,8.519,3.2834,7.8422,99.72,6.79,7.09,15.79,Cairo
2015-04-29,26.86,38.45,17.75,31.46,0.0,3.19,343.4,7.387,8.5445,3.2129,7.6589,99.79,5.7,5.11,15.99,Cairo
2015-04-30,21.87,31.59,13.95,47.52,0.0,3.45,349.9,7.9445,7.9795,3.4817,8.028,100.03,6.38,6.28,14.07,Cairo
2015-05-01,21.11,31.24,12.33,47.82,0.0,3.04,353.6,7.7527,8.0602,3.4512,7.9361,100.1,6.42,7.17,14.14,Cairo
2015-05-02,20.87,29.85,12.03,51.43,0.0,2.7,3.8,8.029,7.901,3.517,8.1197,100.02,6.7,7.53,14.2,Cairo
2015-05-03,20.99,30.28,12.43,49.4,0.0,3.17,4.3,7.8614,8.0969,3.4421,8.225,99.81,6.55,7.21,14.1,Cairo
2015-05-04,21.43,30.15,13.11,46.35,0.0,2.78,5.3,7.5612,8.2044,3.3816,7.8804,99.68,6.61,7.65,14.54,Cairo
2015-05-05,22.03,31.09,13.15,49.07,0.0,3.29,38.7,7.6543,8.2519,3.4121,7.9138,99.52,7.0,8.29,15.16,Cairo
2015-05-06,22.77,31.68,13.87,46.88,0.0,3.28,24.9,7.9538,8.1132,3.5374,8.0522,99.37,6.93,7.97,15.37,Cairo
2015-05-07,23.71,33.39,13.79,40.33,0.0,2.35,34.4,8.1274,8.0621,3.5818,8.2195,99.43,6.14,6.19,14.95,Cairo
2015-05-08,25.35,34.2,15.84,35.1,0.0,1.7,334.6,7.9354,8.6122,3.5585,8.0777,99.53,6.14,6.36,15.85,Cairo
2015-05-09,26.38,35.15,19.21,33.39,0.0,3.59,283.2,7.5017,8.7509,3.3178,7.6596,99.21,6.67,7.61,16.99,Cairo
2015-05-10,24.15,32.57,16.82,48.66,0.0,2.73,317.5,7.535,8.719,3.3456,7.8576,99.32,7.97,9.83,16.99,Cairo
2015-05-11,25.89,34.27,18.1,40.01,0.0,2.87,50.5,6.625,9.162,3.0221,7.5893,99.21,7.45,9.27,17.58,Cairo
2015-05-12,24.39,31.46,16.87,42.37,0.03,2.83,273.8,7.4582,8.796,3.3516,7.8994,99.63,7.35,9.01,16.7,Cairo
2015-05-13,22.49,29.24,16.34,41.53,0.0,3.82,267.9,6.313,8.975,2.814,7.4294,99.7,6.53,7.38,14.93,Cairo
2015-05-14,21.38,28.53,13.68,52.12,0.03,2.67,323.7,6.6053,8.7458,2.9551,7.9231,100.03,7.53,9.59,15.49,Cairo
2015-05-15,23.25,31.27,15.48,39.52,0.0,2.17,0.4,8.0398,8.0638,3.5023,8.089,100.38,5.99,5.85,14.54,Cairo
2015-05-16,23.7,33.11,14.96,42.24,0.0,3.93,49.4,8.489,7.8115,3.6986,8.5229,100.33,6.41,6.77,15.24,Cairo
2015-05-17,25.07,35.25,14.38,46.08,0.0,4.23,47.7,7.8665,8.4372,3.4315,8.3131,99.83,7.53,9.4,17.23,Cairo
2015-05-18,26.76,37.48,17.56,45.68,0.0,3.12,0.5,7.5499,8.8099,3.2894,7.8173,99.46,8.4,10.79,18.77,Cairo
2015-05-19,28.06,38.66,17.69,31.77,0.0,2.45,306.2,8.0201,8.5966,3.4406,8.0909,99.35,5.66,3.67,15.87,Cairo
2015-05-20,28.16,37.46,20.36,25.66,0.0,3.04,332.9,8.1984,8.3508,3.576,8.2459,99.58,5.23,3.49,15.83,Cairo
2015-05-21,24.06,31.89,17.04,50.63,0.0,3.32,336.6,7.8922,8.7444,3.5215,8.2128,99.88,8.5,11.21,17.64,Cairo
2015-05-22,24.67,33.57,16.1,44.25,0.0,2.76,347.7,7.3342,8.9134,3.2837,7.7962,99.81,7.57,9.63,17.15,Cairo
2015-05-23,27.77,37.07,18.69,29.19,0.0,2.4,359.4,7.5706,8.9914,3.3842,7.7731,99.71,5.81,5.62,16.7,Cairo
2015-05-24,31.53,40.68,22.52,21.12,0.0,1.95,356.3,7.2708,9.4301,3.2366,7.7659,99.62,5.46,4.83,18.18,Cairo
2015-05-25,31.64,40.5,24.63,23.75,0.0,2.62,291.1,7.7047,9.5059,3.4308,7.9968,99.55,6.41,6.83,19.23,Cairo
2015-05-26,29.79,38.68,20.47,34.13,0.01,3.44,39.6,7.5334,9.2957,3.359,7.9073,99.58,7.63,9.34,19.57,Cairo
2015-05-27,34.46,44.47,25.5,17.49,0.0,4.89,198.0,6.3055,10.5096,2.7377,6.8242,99.17,5.14,3.82,19.14,Cairo
2015-05-28,27.14,33.98,19.54,39.3,0.0,4.09,321.7,7.0219,9.3168,3.1267,7.3968,99.41,8.49,11.2,19.17,Cairo
2015-05-29,23.48,30.64,16.52,48.59,0.0,3.72,303.2,7.4491,8.9503,3.3134,8.2373,99.6,7.97,10.21,16.84,Cairo
2015-05-30,23.54,30.41,16.67,47.35,0.0,3.26,314.6,7.6306,8.8642,3.3974,8.2284,99.79,7.78,9.88,16.71,Cairo
2015-05-31,23.63,31.29,16.2,44.72,0.0,2.99,16.6,8.3182,8.3873,3.6982,8.4619,99.82,7.12,8.34,15.99,Cairo
2015-06-01,23.81,31.97,15.52,45.53,0.0,3.02,359.4,8.3038,8.4569,3.6929,8.4914,99.61,7.38,9.04,16.42,Cairo
2015-06-02,25.06,33.77,16.57,45.87,0.0,2.65,358.8,7.8619,8.8908,3.5124,8.2886,99.74,7.99,10.32,17.69,Cairo
2015-06-03,25.78,34.65,18.17,41.09,0.0,3.29,351.0,7.9615,8.808,3.54,8.141,99.9,7.37,8.97,17.37,Cairo
2015-06-04,24.81,32.2,17.06,41.91,0.0,3.0,334.1,8.1204,8.6071,3.5974,8.4638,99.83,7.46,9.45,17.13,Cairo
2015-06-05,25.36,32.95,17.51,44.59,0.0,2.45,341.6,7.7107,8.9738,3.4315,8.2123,99.66,8.21,10.82,18.09,Cairo
2015-06-06,25.97,33.59,18.38,45.48,0.0,2.74,355.3,5.7372,9.2707,2.6004,7.8026,99.81,8.61,11.52,18.74,Cairo
2015-06-07,27.83,35.05,20.94,38.19,0.0,3.68,53.4,6.2818,9.6386,2.8493,7.6486,99.85,8.09,10.51,19.17,Cairo
2015-06-08,31.09,41.38,21.53,36.18,0.0,4.14,274.1,7.2924,10.0798,3.2604,7.8223,99.4,8.47,10.92,21.01,Cairo
2015-06-09,27.62,35.46,20.16,46.84,0.0,3.71,339.7,8.011,9.0559,3.5954,8.1756,99.76,9.64,13.04,20.33,Cairo
2015-06-10,26.76,34.32,19.57,43.83,0.0,3.65,352.0,7.9214,9.0559,3.5671,8.3496,99.85,8.66,11.5,19.13,Cairo
2015-06-11,26.04,33.31,18.51,45.53,0.0,2.96,344.2,8.0551,9.0857,3.6218,8.3669,99.73,8.7,11.65,18.85,Cairo
2015-06-12,26.01,33.82,18.32,47.09,0.0,3.16,4.7,8.2277,9.023,3.7138,8.4175,99.74,8.93,12.05,19.03,Cairo
2015-06-13,26.23,34.06,18.2,48.31,0.0,3.42,350.5,7.8744,9.1805,3.547,8.2709,99.7,9.44,13.0,19.62,Cairo
2015-06-14,26.44,34.75,18.51,49.69,0.0,3.54,346.3,7.4275,9.4517,3.3326,8.1437,99.58,9.75,13.41,19.92,Cairo
2015-06-15,27.13,36.03,18.06,45.59,0.0,3.05,345.6,7.8708,9.1366,3.5256,8.1922,99.44,8.86,11.65,19.39,Cairo
2015-06-16,28.18,37.69,18.62,43.89,0.0,3.46,344.5,8.1761,9.1476,3.6674,8.3369,99.28,8.79,11.29,19.74,Cairo
2015-06-17,29.02,38.62,19.38,44.24,0.0,3.85,342.9,8.2992,9.0595,3.7166,8.3611,99.18,9.28,12.11,20.57,Cairo
2015-06-18,30.48,40.49,19.94,34.97,0.0,2.02,316.9,8.0635,9.3504,3.6137,8.2682,99.15,7.68,9.08,19.78,Cairo
2015-06-19,28.28,36.06,21.04,43.84,0.0,4.17,307.1,7.8732,9.5436,3.5556,8.2354,99.3,9.54,12.84,20.56,Cairo
2015-06-20,26.83,33.78,20.14,50.08,0.0,3.47,320.3,7.4508,9.5299,3.3646,8.3225,99.44,10.29,14.22,20.52,Cairo
2015-06-21,26.67,34.0,19.04,45.07,0.0,2.71,347.0,8.1948,9.1054,3.6946,8.4118,99.5,9.0,12.14,19.4,Cairo
2015-06-22,27.5,35.59,19.11,42.17,0.0,3.17,355.0,8.2603,8.9347,3.6876,8.3446,99.52,8.62,11.43,19.47,Cairo
2015-06-23,26.66,34.18,19.78,49.17,0.0,3.62,338.2,7.422,9.552,3.3466,8.2361,99.55,10.05,13.91,20.28,Cairo
2015-06-24,25.99,33.76,18.56,49.1,0.0,3.61,337.6,8.005,9.0763,3.6007,8.4194,99.68,9.28,12.55,19.27,Cairo
2015-06-25,25.49,33.62,17.84,49.66,0.0,3.64,317.6,7.7628,8.9736,3.4541,8.1238,99.62,9.27,12.69,19.09,Cairo
2015-06-26,27.02,35.9,18.22,45.93,0.0,3.52,326.5,8.1391,8.9448,3.6526,8.3563,99.39,8.79,11.33,19.17,Cairo
2015-06-27,29.53,40.34,21.21,34.89,0.0,5.0,254.1,7.2922,9.5474,3.2736,7.8288,99.07,7.97,9.92,19.72,Cairo
2015-06-28,26.4,33.25,19.51,50.4,0.0,3.52,293.5,7.8338,9.2861,3.5299,8.1874,99.46,9.98,13.67,20.04,Cairo
2015-06-29,27.41,34.43,20.48,44.37,0.0,3.03,323.1,8.0671,9.186,3.6456,8.2325,99.69,9.41,12.94,20.18,Cairo
2015-06-30,26.98,34.51,19.76,43.08,0.0,3.37,359.8,8.2572,8.9179,3.6857,8.3357,99.84,8.58,11.3,19.14,Cairo
